Name,Country,City / HQ,Founded,Category,Customer Focus,Revenue Tier,Revenue,EBITDA,Investment,Gov-linked,Product / Tool,Pricing,Website,News / Blog,Notes,Comments
Patrowl,France,Paris,2020,PenTest/AppSec,"Enterprise, MSSP",< $50 M / Undisclosed,Not disclosed,Not disclosed,VC backed; ~60 customers; 100% French SaaS,,Patrowl CAASM/EASM + Automated Penetration Testing engine,Custom / contact sales,https://patrowl.io,https://www.patrowl.io/en/actualites,French SaaS; own engine continuously orchestrates EASM + automated pentest + human expert validation; zero false positives SLA; CTI-fed attack scenarios; continuous PTaaS model; CREST member,
Sekoia.io,France,Paris,2018,Defense/SOAR,"Enterprise, MSSP",$50 M – $200 M,Not disclosed,Not disclosed,VC; raised €35M Series A (2022); BPI France (French state co-investor),Yes,Sekoia SOC Platform — cloud-native SIEM + XDR + CTI + SOAR,,https://www.sekoia.io,https://www.sekoia.io/en/blog/,"French cloud-native SOC platform combining SIEM, XDR, threat intelligence, and SOAR; built for MSSPs and enterprise SOC teams; strong CTI feed covering ransomware groups, APTs; BPI France backed; EU data sovereignty; growing in France, DACH, Southern Europe; NIS2 compliance",
Stormshield,France,Paris,2000,Defense/Endpoint,"Enterprise, Government, Critical Infra",$200 M – $1 B,Not disclosed,Not disclosed,Subsidiary of Airbus CyberSecurity (Airbus Group ~26% owned by French/German/Spanish states),Yes,Stormshield Network Security + Endpoint Security + Data Security — EU-certified cybersecurity,,https://www.stormshield.com,https://www.stormshield.com/news/,"EU-certified security solutions for critical infrastructure, defense, and government; part of Airbus CyberSecurity; French ANSSI and EU qualified products; specializes in OT/ICS security; government-grade encryption and firewalls; France's premier security vendor for sensitive sectors",
YesWeHack,France,Paris,2015,PenTest/PTaaS,"Enterprise, Government, MSSP",$50 M – $200 M,~€14M ARR (FY2024 est.); 6x ARR growth since 2021 (per Series C press release); Series C: €26M (Jun 2024),Pre-profit (loss-making in investment phase),VC: Series C €26M (Jun 2024); total ~€50M+ raised; 100+ employees; ISO 27001/27017; CREST accredited,,YesWeHack Platform — Bug Bounty + VDP + Pentest Management + ASM + Dojo training,Custom — reward pool + platform fee; VDP contact sales,https://www.yeswehack.com,https://blog.yeswehack.com/,"Europe's #1 bug bounty platform; 125,000+ ethical hackers; €60M+ in bounties; EU-based infrastructure; European Commission + French/German/Finnish government clients",
Enginsight,Germany,Jena,2017,PenTest/AppSec,"SMB, Mid-market",< $50 M / Undisclosed,Not disclosed,Pre-profit,"€6 M total; Series A: €6 M (Sep 2024, UVC Partners lead); co-investors: Talanx AG, seed+speed, bm-t beteiligungsmanagement thüringen, Smart Infrastructure Ventures",,Enginsight Unified Platform — proprietary vulnerability scanner + IDS + asset discovery + patch management + SIEM,Small Business from €8.91/mo; SaaS from €26.99/mo; On-Premises custom,https://enginsight.com,https://enginsight.com/blog/,"All-in-one cybersecurity platform purpose-built for European SMEs; own proprietary vulnerability scanner (no third-party engine); NIS2 and BSI IT-Grundschutz alignment; covers network scanning, web app testing, IDS alerting, asset inventory — all under one SaaS platform; strong DACH market focus; plans EU expansion with Series A proceeds",
Greenbone,Germany,Osnabrück,2008,PenTest/AppSec,"Enterprise, Government",< $50 M / Undisclosed,~$18–20M est. (FY2024); ~$18M (FY2023 est.); 27% headcount growth in 2024,Not disclosed,Private; BSI-endorsed; established SME with strong German government client base,Yes,OpenVAS / OPENVAS SCAN — world's most deployed open-source vulnerability scanner,"OpenVAS Community free (open-source); OPENVAS BASIC €2,524/yr; enterprise appliances from €26K",https://www.greenbone.net,https://www.greenbone.net/en/blog/,"Drives OpenVAS — most widely deployed open-source network vulnerability scanner globally; commercial OPENVAS SCAN appliances + Greenbone Cloud Service; endorsed by Germany's BSI; covers OT/ICS, unauthenticated + authenticated testing",
ONEKEY,Germany,Düsseldorf,2020,PenTest/AppSec,Enterprise (IoT/OT manufacturers),< $50 M / Undisclosed,Not disclosed,Pre-profit,~$1.4 M seed + PwC Germany Holdings strategic stake + eCAPITAL (Dec 2023); ECSO Startup Award — Europe's most promising cybersecurity startup,,ONEKEY Product Cybersecurity Platform — automated firmware binary analysis + SBOM generation + EU Cyber Resilience Act (CRA) compliance checks,Custom / contact sales (per device/product line),https://www.onekey.com,https://onekey.com/news/,"Automated firmware security analysis without source code or hardware access; detects CVEs, hardcoded credentials, outdated components, and known malware in embedded software; generates SBOM for compliance; first European platform fully aligned with EU Cyber Resilience Act (CRA); clients: IoT/IIoT manufacturers, medical device makers, industrial OT operators; ECSO Startup Award winner",
Astra Security,India/USA,"Delhi, India",2018,PenTest/PTaaS,"SMB, Enterprise",< $50 M / Undisclosed,Not disclosed,Not disclosed,Seed/Series A stage; investors: IAN Fund,,Astra Pentest — PTaaS platform + vulnerability scanner + expert-led pentesting,,https://www.getastra.com,https://www.getastra.com/blog/,"Indian-origin PTaaS platform targeting SMBs and mid-market in US and India; automated vulnerability scanning + manual pentest by certified security experts; Pentest Suite covers web apps, APIs, mobile, networks; ISO 27001/SOC 2/GDPR compliance-ready reports; growing US market presence",
Edgescan,Ireland,Dublin,2011,PenTest/AppSec,"Enterprise, Government",< $50 M / Undisclosed,~$20M est. (FY2024); 40% CAGR since 2016; €10.5M from BGF (2020),Not disclosed,€10.5M BGF Ireland investment (2020); US office in NYC; founded 2011 by Eoin Keary,,Edgescan Unified Security Platform — EASM + RBVM + DAST + API Security + PTaaS,Custom / contact sales (per asset count),https://www.edgescan.com,https://www.edgescan.com/blog/,First fully integrated platform unifying 5 solutions: EASM + Risk-Based VM + Application Security Testing + API Security Testing + PTaaS; first in Ireland to develop continuous assessment platform with human validation + ML,
Tines,Ireland,Dublin,2018,Defense/SOAR,Enterprise,$1 B – $5 B,Not disclosed,Not disclosed,"VC; $125M Series C (Feb 2025, $1.125B valuation — Irish unicorn); $272M total raised; Accel, a16z",,Tines Security Automation Platform — no-code/low-code security orchestration and automation (SOAR 2.0),,https://www.tines.com,https://www.tines.com/blog,"No-code security automation platform; automates >1 billion tasks per week; customers: Intercom, Palo Alto Networks, Elastic, Canva, Databricks; Irish unicorn ($1.125B valuation, Feb 2025); competes with Splunk SOAR, ServiceNow; strong SOC automation adoption",
Armis,Israel/USA,"San Francisco, CA",2015,Defense/Endpoint,"Enterprise, Critical Infrastructure",$1 B – $5 B,$300M+ ARR; $6.1B valuation,Pre-profit,"Acquired by ServiceNow for $7.75B (announced Dec 23, 2025; closing expected H2 2026)",,Armis Centrix — AI-powered asset intelligence + OT/IoT security + exposure management,,https://www.armis.com,https://www.armis.com/company/news/,"Leader in cyber exposure management; covers IT, OT, IoT, medical devices without agents; acquired by ServiceNow for $7.75B (Dec 2025, closing H2 2026); 600+ enterprise customers; agentless asset visibility across entire attack surface",
Axonius,Israel/USA,Tel Aviv / New York,2017,Defense/Endpoint,Enterprise,$200 M – $1 B,~$100M ARR (est.),Not disclosed,VC; Series E $200M ($2.6B valuation),,Axonius Cybersecurity Asset Management — comprehensive IT asset inventory and exposure management,,https://www.axonius.com,https://www.axonius.com/company/news,Cybersecurity asset management connecting to 900+ security and management tools to create complete asset inventory; eliminates unknown assets and coverage gaps; 500+ enterprise customers; $2.6B valuation; Gartner Magic Quadrant recognition,
Checkmarx,Israel/USA,"Ramat Gan, Israel",2006,PenTest/AppSec,"Enterprise, DevSecOps",$200 M – $1 B,~$200M+ ARR (est.),Not disclosed,PE: Hellman & Friedman (~$1.15B deal 2020),,Checkmarx One — SAST + SCA + DAST + API security + Container + IaC scanning,,https://checkmarx.com,https://checkmarx.com/company/news/,"Enterprise AppSec testing; SAST, SCA, DAST, and API security in one platform; major DevSecOps vendor; 1,800+ customers globally including US government agencies; acquired by PE firm Hellman & Friedman",
CyberArk,Israel/USA,"Petah Tikva, Israel",1999,Defense/Endpoint,Enterprise,$1 B – $5 B,"$921M (FY2024, +31%)",Improving,"Acquired by Palo Alto Networks for $25B (closed Feb 11, 2026)",,CyberArk Identity Security Platform — PAM + CIEM + Secrets Management + EPM,,https://www.cyberark.com,https://www.cyberark.com/company/newsroom/press-releases/,Global leader in Privileged Access Management (PAM) and identity security; $921M revenue (FY2024 +31%); acquired by Palo Alto Networks for $25B (Feb 2026) — largest PANW acquisition; combined entity creates world's most comprehensive network + endpoint + cloud + identity platform,
Cymulate,Israel/USA,Tel Aviv,2016,PenTest/AppSec,"Enterprise, Mid-market",$50 M – $200 M,~$50M ARR (est.),Not disclosed,VC; Series C $70M (2022),,Cymulate Continuous Security Validation — BAS + CTEM + Automated Red Teaming,,https://cymulate.com,https://cymulate.com/news/,"Breach and attack simulation (BAS) + continuous threat exposure management (CTEM); automated adversarial testing including phishing, endpoint, email gateway, WAF, data exfiltration simulations; MITRE ATT&CK aligned; used for TIBER-EU and DORA testing",
Deep Instinct,Israel/USA,Tel Aviv,2015,Defense/Endpoint,Enterprise,$50 M – $200 M,Not disclosed,Not disclosed,"VC; raised $200M+; LGT Capital, Millennium New Horizons",,Deep Instinct Prevention Platform — deep learning-based malware prevention + EDR,,https://www.deepinstinct.com,https://www.deepinstinct.com/newsroom,"World's first cybersecurity company to apply deep learning end-to-end for malware prevention; <20ms prediction time; >99% detection rate with <0.1% false positives; prevents unknown malware and zero-days before execution; customers in financial services, healthcare, government",
Orca Security,Israel/USA,"New York, NY",2019,Defense/Endpoint,"Enterprise, Cloud",$1 B – $5 B,Not public,Not disclosed,"VC; raised $550M+ ($1.8B valuation); Stripes, GGV Capital",,Orca Cloud Security Platform — agentless CSPM + CDR + DSPM + vulnerability management,,https://orca.security,https://orca.security/resources/news/,"Agentless cloud security pioneer; SideScanning technology captures full cloud estate snapshot without agents; covers CSPM, CWPP, CIEM, CDR, DSPM across AWS, Azure, GCP; 800+ enterprise customers; pioneered ""agentless cloud security"" concept; strong competition with Wiz",
Pentera,Israel/USA,"Petah Tikva, Israel",2015,PenTest/AppSec,Enterprise,$200 M – $1 B,$100M+ ARR (Jan 2026),Not disclosed,"VC; $60M Series D (Mar 2025, $1B+ valuation); acquired EVA Information Security (AI red teaming, Nov 2025); K1 Investment Management",,Pentera Automated Security Validation — continuous automated pentesting of network infrastructure,"~EUR 46,000/yr minimum (mandatory on-prem; enterprise-only; no SMB tier)",https://pentera.io,https://pentera.io/news/,"Automated security validation; continuously runs real-world attack scenarios against live environments without agents; $100M+ ARR milestone (Jan 2026); 1,000+ customers including PwC, KPMG; $1B+ valuation; acquired EVA Information Security for AI red teaming (Nov 2025)",
Cato Networks,Israel,Tel Aviv,2015,Defense/Endpoint,"Enterprise, Mid-market",$200 M – $1 B,~$200M+ ARR; $4.8B valuation,Pre-profit,VC; Series G $359M (2025),,Cato SASE Cloud — cloud-native SASE + SD-WAN + SSE + Zero Trust,,https://www.catonetworks.com,https://www.catonetworks.com/news/,"Pioneer of cloud-native SASE; single global cloud platform converging SD-WAN, FWaaS, SWG, CASB, ZTNA into one; 3,000+ global customers; $4.8B valuation; fastest path to secure remote work for distributed enterprises",
Check Point,Israel,Tel Aviv,1993,Defense/Endpoint,"Enterprise, Government",$1 B – $5 B,"$2.565B (FY2024, +6%)",~40% operating margin,Public (NASDAQ: CHKP),,Check Point Infinity Platform — NGFWs + Quantum + Harmony endpoint + CloudGuard + Threat Intel,,https://www.checkpoint.com,https://www.checkpoint.com/press/,"One of the founding companies of the firewall era; invented the stateful firewall; Infinity platform covers network, cloud, endpoint, IoT, mobile; 100,000+ customers; ~40% operating margin (among highest in cybersecurity); strong government and critical infrastructure presence globally",
Novee,Israel,Tel Aviv,2025,PenTest/AppSec,Enterprise,$50 M – $200 M,Not disclosed,Not disclosed,"VC; $51.5M seed (Jan 2026, YL Ventures, Canaan, Zeev); raised within 4 months of founding",,Novee AI Red Team Platform — automated red teaming for LLM applications,,https://novee.ai,https://novee.ai,"AI Red Teaming for LLM applications: automated testing for prompt injection, jailbreaks, data exfiltration, adversarial attacks on AI systems; $51.5M seed raised just 4 months after founding (Jan 2026); YL Ventures, Canaan, Zeev; one of the best-funded AI security startups at seed stage",
Equixly,Italy,Verona,2022,PenTest/AppSec,"Enterprise, Developers",< $50 M / Undisclosed,Not disclosed (early revenue stage),Pre-profit,"$13.3 M total — $1.6 M Seed (Nov 2023, 360 Capital) + €10 M Series A (Dec 2025, 33N Ventures); also Alpha Intelligence Capital, JME Ventures",,Equixly — agentic AI platform for automated API penetration testing,Custom / contact sales (per API endpoints),https://www.equixly.com,https://www.equixly.com/blog,"Proprietary AI agents study API context, reconstruct software logic, and simulate targeted attacks that mirror skilled human hackers — finding business logic vulnerabilities that conventional DAST scanners miss; integrates into SDLC; founded by ex-IBM/UniCredit/Accenture brothers Mattia and Alessio Dalla Piazza",
Pikered,Italy,Milan,2018,PenTest/AppSec,"Enterprise, Financial sector",< $50 M / Undisclosed,Not disclosed,Not disclosed,Italian private company,,ZAIUX Evo — AI-driven Breach & Attack Simulation (BAS) platform,Custom / contact sales,https://pikered.com,https://www.pikered.com/en/learn/,Own AI-driven BAS platform simulating real intrusions from outside the network; ML-based DPZR engine emulates human attacker intelligence; lateral movement + privilege escalation + cloud hashcracking + automated reporting; TIBER-EU red teaming support,
Trend Micro,Japan,Tokyo,1988,Defense/Endpoint,"Enterprise, SMB",$1 B – $5 B,"$1.799B (FY2024, +2%)",Moderate-High,Public (TSE:4704 / OTC:TMICY),,Trend Micro Vision One — XDR + EDR + Cloud Security + Network Defense + Risk Management,,https://www.trendmicro.com,https://newsroom.trendmicro.com/,"One of the world's largest dedicated cybersecurity companies; Vision One platform for XDR across endpoint, network, cloud; 500,000+ business customers; 250M+ consumer devices protected; strong APAC presence; cybersecurity research unit tracking emerging threats",
BreachLock,Netherlands/USA,Amsterdam (EU HQ),2019,PenTest/PTaaS,"SMB, Enterprise",< $50 M / Undisclosed,Not disclosed,Not disclosed,VC early stage; Dutch co-founders; US + EU offices,,BreachLock Unified Platform — AI-augmented PTaaS + ASM + continuous pentest,"Web app pentest from ~$3,500/engagement; continuous from ~$1,000/mo; Enterprise custom",https://www.breachlock.com,https://www.breachlock.com/resources/news-press/,"Own AI-augmented PTaaS platform; integrates ASM, continuous pentesting, and red teaming in one portal; automated scanning + certified human testers; real-time dashboard; covers network, web app, API, cloud; DevSecOps integrations",
Eye Security,Netherlands,The Hague,2020,Defense/MDR,"SMB, Enterprise",$50 M – $200 M,Not disclosed,Not disclosed,VC; €57.5M total raised; MDR + integrated cyber insurance for SMEs,,Eye Security — MDR + integrated cyber insurance for European SMEs,,https://www.eye.security,https://www.eye.security/blog,"European MDR provider combining 24/7 security monitoring with integrated cyber insurance — unique model reducing cost and complexity for SMEs; founded by former intelligence agency professionals; rapidly expanding across Netherlands, Belgium, Germany, UK; NIS2 compliance focus",
Hadrian,Netherlands,Amsterdam,2021,PenTest/PTaaS,Enterprise,< $50 M / Undisclosed,Not disclosed (early revenue stage),Pre-profit,"€10.5 M seed (Jun 2022, Notion Capital, Peak Capital, Vu Ventures); additional rounds ongoing",,Hadrian Agentic Pentesting Platform — EASM + Continuous Automated Red Teaming (CART) + CTEM,Custom / contact sales (per attack surface size),https://hadrian.io,https://hadrian.io/resources/,"Autonomous AI-driven offensive security; agentic AI discovers all exposed assets (incl. shadow IT), then safely simulates real-world attacks to validate exploitability; Gartner Hype Cycle recognized; Frost & Sullivan New Product Innovation Award; GigaOm Radar Leader 2 consecutive years",
Zerocopter,Netherlands,Amsterdam,2014,PenTest/PTaaS,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed,Not disclosed,Private; founded by hackers; EU-native; bootstrapped/early-stage,,Zerocopter Platform — continuous PTaaS + bug bounty + VDP with smart automation,Custom / contact sales (per program scope),https://www.zerocopter.com,https://www.zerocopter.com/blog,Founded by ethical hackers; combines vetted hacker community with smart automation for 360° continuous security; PTaaS + structured pentesting + bug bounty + VDP in one platform; continuous security model replacing one-off engagements; EU-native data handling,
Ethiack,Portugal,Coimbra,2022,PenTest/PTaaS,"Enterprise, SMB",< $50 M / Undisclosed,$1 M ARR (50+ clients in 9 countries),Pre-profit,"€4 M Seed (Dec 2024, Explorer Investments, CoreAngels, Startup Wise Guys, Amena Ventures)",,Ethiack Hackbot — autonomous AI ethical hacking + CART platform,"Launch €1,790/yr (50 assets); Pro €3,490/yr (100 assets); Premium €9,490/yr; Enterprise custom",https://www.ethiack.com,https://www.ethiack.com/blog,"""Hackbot"" AI engine conducts continuous automated penetration testing + attack surface mapping; paired with network of human ethical hackers for complex scenarios; WebSummit Most Promising Startup; Portugal National Innovation Award; selected for Google AI for Cybersecurity Growth Academy; $1M ARR reached within first year",
Bitdefender,Romania,Bucharest,2001,Defense/Endpoint,"Enterprise, SMB, Consumer",$50 M – $200 M,~$200M (est. FY2024),Profitable,Private; Vitruvian Partners 2017,,Bitdefender GravityZone — EDR + XDR + MDR + Network + Risk Analytics,,https://www.bitdefender.com,https://www.bitdefender.com/en-us/news/,"Romania's most successful tech company; GravityZone covers endpoint, network, email, and cloud security; consistently top-rated in independent tests (AV-TEST, SE Labs); acquired Horangi Cyber Security (Feb 2024); 500M+ users; MDR service growing rapidly; 2,000+ employees",
Pentest-Tools.com,Romania,Bucharest,2013,PenTest/PTaaS,"Enterprise, SMB, Security professionals",< $50 M / Undisclosed,Not disclosed (profitable),Profitable,Bootstrapped by founder Adrian Furtuna; ~65 employees; minimal external funding,,"Pentest-Tools.com Cloud Toolkit — 20+ own tools (network scanner, web scanner, recon, CMS scanner, exploitation)",Free (limited); NetSec $95/mo; WebNetSec $140/mo; Pentest Suite $190/mo,https://pentest-tools.com,https://pentest-tools.com/blog,"Cloud-based offensive security toolkit with 20+ proprietary tools; full pentest workflow: recon → network scanning → web app testing → exploitation; 2,000+ security teams in 119 countries; founded 2013; profitable and independent",
Trickest,Serbia,Belgrade,2020,PenTest/AppSec,"Enterprise, Security professionals",< $50 M / Undisclosed,Not disclosed (early revenue stage),Pre-profit,"~$3 M total — ICT Hub Venture seed (2020) + €1.4 M Seed (2021, Credo Ventures, Earlybird Digital East, Underline Ventures); angel: Daniel Dines (UiPath founder)",,Trickest — visual offensive security workflow automation and orchestration platform,Custom / contact sales,https://trickest.com,https://trickest.com/blog,"No-code/low-code visual editor for building and running complex multi-tool security workflows; integrates 100s of open-source and commercial security tools; community library of attack workflows; founded by Nenad Zaric (formerly top-ranked HackerOne researcher for Uber, PayPal, Snapchat); backed by UiPath founder",
ESET,Slovakia,Bratislava,1992,Defense/Endpoint,"Enterprise, SMB, Consumer",$200 M – $1 B,~$600M (est. FY2024),Profitable,Private / founder-owned,,ESET PROTECT Platform — EDR + XDR + Threat Intelligence + Email Security + Encryption,,https://www.eset.com,https://www.eset.com/int/about/newsroom/,Central European cybersecurity powerhouse; one of the longest-established AV/endpoint security vendors; 400M+ users protected; 110M business endpoints; ESET Threat Intelligence widely used; strong Central and Eastern European leadership; independently owned — rare in a market dominated by US/PE acquirers,
Zynap,Spain,Barcelona,2024,PenTest/AppSec,"Enterprise, MSSP",< $50 M / Undisclosed,"Not disclosed (pre-revenue, product launch phase)",Pre-profit,"€5.7 M seed (Kibo Ventures, K Fund, 2024)",,Zynap Michelangelo Platform — offensive attack simulation + threat intelligence,Custom / contact sales (early stage),https://www.zynap.com,https://www.zynap.com/blog,Simulates cyberattacks as real adversaries would; combines dark web / Telegram threat intelligence with adversary simulation + automated incident response; founded 2024 by Daniel Solis (ex-CEO of threat intel firm Blueliv); targets MSSPs and Fortune 2000,
Detectify,Sweden,Stockholm,2013,PenTest/AppSec,"Enterprise, Dev teams",$50 M – $200 M,~$25 M ARR (est.),Not disclosed,"$42.1 M raised (Insight Partners, Inventure, Balderton Capital); acquired by Insight Partners 2024",,Detectify EASM Platform — Surface Monitoring + Application Scanning (DAST),App Scanning from $90/mo; Surface Monitoring from $302/mo; Enterprise custom,https://detectify.com,https://detectify.com/newsroom/,"EASM + automated web app vulnerability scanner using DAST methodology; crowdsourced payload library from elite ethical hacker community; 1,000+ vulnerability checks; 99.7% accuracy",
Holm Security,Sweden,Stockholm,2015,PenTest/AppSec,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed,Not disclosed,€4 M raised (Subvenio Invest),,Holm Security VMP — Vulnerability Management Platform,Custom / contact sales (per asset / module),https://www.holmsecurity.com,https://www.holmsecurity.com/blog,"""Made in Europe"" next-gen VM platform; systems, workstations, network devices, IoT, OT, Kubernetes, web apps, cloud, APIs; AI-enriched risk prioritization; NIS2 / GDPR / ISO 27001 / PCI DSS compliance",
Nordic Defender,Sweden,Gothenburg,2019,PenTest/PTaaS,"Enterprise, SMB",< $50 M / Undisclosed,Not disclosed (bootstrapped),Not disclosed,Self-funded / bootstrapped,,SecureBug PTaaS + managed bug bounty platform,Custom / contact sales,https://nordicdefender.com,https://nordicdefender.com/blog,First crowdsourced offensive cybersecurity platform in Scandinavia; operates SecureBug PTaaS and managed bug bounty connecting Nordic companies with vetted ethical hackers for continuous security testing; specializes in Nordic language/regulation context; pivoted to full MSSP model combining offense and defense,
